panel_ref,board,board_ref,value,side
AE1,OpenRX-Gemini,AE1,2450AT18A100E,bottom
C1,OpenRX-Gemini,C1,15pF,bottom
C10,OpenRX-Gemini,C10,1uF,bottom
C11,OpenRX-Gemini,C11,10uF,top
C12,OpenRX-Gemini,C12,100nF,bottom
C13,OpenRX-Gemini,C13,100nF,top
C14,OpenRX-Gemini,C14,100nF,top
C15,OpenRX-Gemini,C15,47pF,top
C16,OpenRX-Gemini,C16,100nF,bottom
C17,OpenRX-Gemini,C17,1uF,bottom
C18,OpenRX-Gemini,C18,10uF,bottom
C19,OpenRX-Gemini,C19,2.2nF,top
C2,OpenRX-Gemini,C2,47p,top
C20,OpenRX-Gemini,C20,470nF,top
C21,OpenRX-Gemini,C21,220pF,bottom
C22,OpenRX-Gemini,C22,1n,bottom
C23,OpenRX-Gemini,C23,47p,top
C24,OpenRX-Gemini,C24,47p,top
C25,OpenRX-Gemini,C25,1uF,bottom
C26,OpenRX-Gemini,C26,10nF,bottom
C27,OpenRX-Gemini,C27,1uF,bottom
C28,OpenRX-Gemini,C28,1uF,bottom
C29,OpenRX-Gemini,C29,1.2pF,bottom
C3,OpenRX-Gemini,C3,15pF,bottom
C30,OpenRX-Gemini,C30,1.2pF,bottom
C31,OpenRX-Gemini,C31,1uF,bottom
C33,OpenRX-Gemini,C33,2.2nF,top
C34,OpenRX-Gemini,C34,10pF,top
C35,OpenRX-Gemini,C35,100nF,bottom
C36,OpenRX-Gemini,C36,47pF,bottom
C37,OpenRX-Gemini,C37,100nF,top
C38,OpenRX-Gemini,C38,470nF,top
C39,OpenRX-Gemini,C39,47p,top
C4,OpenRX-Gemini,C4,1uF,bottom
C40,OpenRX-Gemini,C40,220pF,bottom
C41,OpenRX-Gemini,C41,1uF,bottom
C42,OpenRX-Gemini,C42,47p,top
C43,OpenRX-Gemini,C43,1n,bottom
C44,OpenRX-Gemini,C44,47p,bottom
C5,OpenRX-Gemini,C5,100nF,bottom
C6,OpenRX-Gemini,C6,100nF,bottom
C7,OpenRX-Gemini,C7,10pF,top
C8,OpenRX-Gemini,C8,10uF,bottom
C9,OpenRX-Gemini,C9,100nF,bottom
D1,OpenRX-Gemini,D1,XL-1010RGBC-WS2812B,bottom
FL1,OpenRX-Gemini,FL1,2450FM07D0034T,top
FL2,OpenRX-Gemini,FL2,2450FM07D0034T,top
J1,OpenRX-Gemini,J1,Conn_Coaxial_Small,bottom
J2,OpenRX-Gemini,J2,Conn_Coaxial_Small,bottom
L1,OpenRX-Gemini,L1,10uH,bottom
L2,OpenRX-Gemini,L2,24nH,bottom
L3,OpenRX-Gemini,L3,2.0nH,bottom
L4,OpenRX-Gemini,L4,2.5nH,bottom
L5,OpenRX-Gemini,L5,47nH,top
L6,OpenRX-Gemini,L6,10uH,bottom
L7,OpenRX-Gemini,L7,47nH,top
OSC1,OpenRX-Gemini,OSC1,OW7EL89CENUYO3YLC-32M,top
R1,OpenRX-Gemini,R1,200,top
R10,OpenRX-Gemini,R10,200,top
R11,OpenRX-Gemini,R11,100k,top
R12,OpenRX-Gemini,R12,100k,top
R2,OpenRX-Gemini,R2,10k,bottom
R3,OpenRX-Gemini,R3,10k,bottom
R4,OpenRX-Gemini,R4,10k,bottom
R5,OpenRX-Gemini,R5,10k,bottom
R6,OpenRX-Gemini,R6,220,top
R7,OpenRX-Gemini,R7,100k,top
R8,OpenRX-Gemini,R8,100k,top
R9,OpenRX-Gemini,R9,220,top
T1,OpenRX-Gemini,T1,0900PC16J0042001E,top
T2,OpenRX-Gemini,T2,0900PC16J0042001E,top
TP1,OpenRX-Gemini,TP1,RX,top
TP2,OpenRX-Gemini,TP2,TX,top
TP3,OpenRX-Gemini,TP3,5V,top
TP4,OpenRX-Gemini,TP4,GND,top
TP5,OpenRX-Gemini,TP5,TestPoint,top
U1,OpenRX-Gemini,U1,ESP32-C3,bottom
U2,OpenRX-Gemini,U2,TLV75533PDQNR,bottom
U3,OpenRX-Gemini,U3,LR1121IMLTRT,top
U4,OpenRX-Gemini,U4,RFX2401C,top
U5,OpenRX-Gemini,U5,SKY13373-460LF,top
U6,OpenRX-Gemini,U6,LR1121IMLTRT,top
U7,OpenRX-Gemini,U7,RFX2401C,top
U8,OpenRX-Gemini,U8,SKY13373-460LF,top
U9,OpenRX-Gemini,U9,TS2306A 240GF MSM 9_C2976675,bottom
X1,OpenRX-Gemini,X1,CJ17-400001010B20,bottom
AE301,OpenRX-Lite,AE1,2450AT18A100E,bottom
AE302,OpenRX-Lite,AE2,47948-0001,top
C301,OpenRX-Lite,C1,15pF,top
C303,OpenRX-Lite,C3,15pF,top
C304,OpenRX-Lite,C4,1uF,top
C305,OpenRX-Lite,C5,100nF,top
C306,OpenRX-Lite,C6,100nF,top
C308,OpenRX-Lite,C8,10uF,top
C309,OpenRX-Lite,C9,100nF,top
C310,OpenRX-Lite,C10,1uF,bottom
C311,OpenRX-Lite,C11,10uF,top
C312,OpenRX-Lite,C12,100nF,bottom
C313,OpenRX-Lite,C13,100nF,bottom
C314,OpenRX-Lite,C14,100nF,bottom
C315,OpenRX-Lite,C15,1uF,bottom
C316,OpenRX-Lite,C16,10uF,top
C317,OpenRX-Lite,C17,100nF,bottom
C319,OpenRX-Lite,C19,1nF,bottom
C320,OpenRX-Lite,C20,470nF,bottom
C321,OpenRX-Lite,C21,1.2pF,bottom
C322,OpenRX-Lite,C22,1.2pF,bottom
C323,OpenRX-Lite,C23,1uF,top
C324,OpenRX-Lite,C24,10nF,top
C325,OpenRX-Lite,C25,1uF,top
C326,OpenRX-Lite,C26,10nF,bottom
C327,OpenRX-Lite,C27,10nF,bottom
C328,OpenRX-Lite,C28,1uF,bottom
D301,OpenRX-Lite,D1,XL-1010RGBC-WS2812B,top
FL301,OpenRX-Lite,FL1,2450FM07D0034T,top
L301,OpenRX-Lite,L1,24nH,top
L302,OpenRX-Lite,L2,2.5nH,bottom
L303,OpenRX-Lite,L3,2.0nH,top
L304,OpenRX-Lite,L4,15uH,bottom
OSC301,OpenRX-Lite,OSC1,OW7EL89CENUNFAYLC-52M,bottom
R302,OpenRX-Lite,R2,10k,top
R303,OpenRX-Lite,R3,10k,bottom
R304,OpenRX-Lite,R4,10k,bottom
R305,OpenRX-Lite,R5,10k,bottom
TP301,OpenRX-Lite,TP1,RX,top
TP302,OpenRX-Lite,TP2,TX,top
TP303,OpenRX-Lite,TP3,5V,top
TP304,OpenRX-Lite,TP4,GND,top
TP305,OpenRX-Lite,TP5,BOOT,top
U301,OpenRX-Lite,U1,ESP32-C3,bottom
U302,OpenRX-Lite,U2,TLV75533PDQNR,bottom
U303,OpenRX-Lite,U3,SX1281IMLTRT,top
X301,OpenRX-Lite,X1,CJ17-400001010B20,top
AE201,OpenRX-Lite-UFL,AE1,2450AT18A100E,bottom
C201,OpenRX-Lite-UFL,C1,15pF,top
C203,OpenRX-Lite-UFL,C3,15pF,top
C204,OpenRX-Lite-UFL,C4,1uF,top
C205,OpenRX-Lite-UFL,C5,100nF,top
C206,OpenRX-Lite-UFL,C6,100nF,top
C208,OpenRX-Lite-UFL,C8,10uF,top
C209,OpenRX-Lite-UFL,C9,100nF,top
C210,OpenRX-Lite-UFL,C10,1uF,bottom
C211,OpenRX-Lite-UFL,C11,10uF,top
C212,OpenRX-Lite-UFL,C12,100nF,bottom
C213,OpenRX-Lite-UFL,C13,100nF,bottom
C214,OpenRX-Lite-UFL,C14,100nF,bottom
C215,OpenRX-Lite-UFL,C15,1uF,bottom
C216,OpenRX-Lite-UFL,C16,10uF,top
C217,OpenRX-Lite-UFL,C17,100nF,bottom
C219,OpenRX-Lite-UFL,C19,1nF,bottom
C220,OpenRX-Lite-UFL,C20,470nF,bottom
C221,OpenRX-Lite-UFL,C21,1.2pF,bottom
C222,OpenRX-Lite-UFL,C22,1.2pF,bottom
C223,OpenRX-Lite-UFL,C23,1uF,top
C224,OpenRX-Lite-UFL,C24,10nF,top
C225,OpenRX-Lite-UFL,C25,1uF,top
C226,OpenRX-Lite-UFL,C26,10nF,bottom
C227,OpenRX-Lite-UFL,C27,10nF,bottom
C228,OpenRX-Lite-UFL,C28,1uF,bottom
D201,OpenRX-Lite-UFL,D1,XL-1010RGBC-WS2812B,top
FL201,OpenRX-Lite-UFL,FL1,2450FM07D0034T,top
J201,OpenRX-Lite-UFL,J1,Conn_Coaxial,top
L201,OpenRX-Lite-UFL,L1,24nH,top
L202,OpenRX-Lite-UFL,L2,2.5nH,bottom
L203,OpenRX-Lite-UFL,L3,2.0nH,top
L204,OpenRX-Lite-UFL,L4,15uH,bottom
OSC201,OpenRX-Lite-UFL,OSC1,OW7EL89CENUNFAYLC-52M,bottom
R202,OpenRX-Lite-UFL,R2,10k,top
R203,OpenRX-Lite-UFL,R3,10k,bottom
R204,OpenRX-Lite-UFL,R4,10k,bottom
R205,OpenRX-Lite-UFL,R5,10k,bottom
TP201,OpenRX-Lite-UFL,TP1,RX,top
TP202,OpenRX-Lite-UFL,TP2,TX,top
TP203,OpenRX-Lite-UFL,TP3,5V,top
TP204,OpenRX-Lite-UFL,TP4,GND,top
TP205,OpenRX-Lite-UFL,TP5,BOOT,top
U201,OpenRX-Lite-UFL,U1,ESP32-C3,bottom
U202,OpenRX-Lite-UFL,U2,TLV75533PDQNR,bottom
U203,OpenRX-Lite-UFL,U3,SX1281IMLTRT,top
X201,OpenRX-Lite-UFL,X1,CJ17-400001010B20,top
AE101,OpenRX-Mono,AE1,2450AT18A100E,bottom
C101,OpenRX-Mono,C1,15pF,bottom
C102,OpenRX-Mono,C2,47p,top
C103,OpenRX-Mono,C3,15pF,bottom
C104,OpenRX-Mono,C4,1uF,top
C105,OpenRX-Mono,C5,100nF,bottom
C106,OpenRX-Mono,C6,100nF,bottom
C107,OpenRX-Mono,C7,10pF,top
C108,OpenRX-Mono,C8,10uF,bottom
C109,OpenRX-Mono,C9,100nF,top
C110,OpenRX-Mono,C10,1uF,bottom
C111,OpenRX-Mono,C11,10uF,top
C112,OpenRX-Mono,C12,100nF,top
C113,OpenRX-Mono,C13,100nF,top
C114,OpenRX-Mono,C14,100nF,bottom
C115,OpenRX-Mono,C15,47pF,bottom
C116,OpenRX-Mono,C16,100nF,bottom
C117,OpenRX-Mono,C17,1uF,bottom
C118,OpenRX-Mono,C18,10uF,bottom
C119,OpenRX-Mono,C19,2.2nF,bottom
C120,OpenRX-Mono,C20,470nF,top
C121,OpenRX-Mono,C21,220pF,bottom
C122,OpenRX-Mono,C22,1n,top
C123,OpenRX-Mono,C23,47p,top
C124,OpenRX-Mono,C24,47p,top
C125,OpenRX-Mono,C25,1uF,top
C126,OpenRX-Mono,C26,10nF,top
